iter	MultiRMSE
0	0.2086334869
1	0.2043084173
2	0.2004311164
3	0.1961918298
4	0.192090463
5	0.1882463157
6	0.1842024144
7	0.1806593931
8	0.1772676139
9	0.1740033813
10	0.1707193879
11	0.167666839
12	0.1643827603
13	0.1614550319
14	0.1585443633
15	0.1557768255
16	0.1529848996
17	0.1501247522
18	0.1474983341
19	0.1451546694
20	0.1429182208
21	0.1405667786
22	0.138262266
23	0.1361546458
24	0.1342402199
25	0.132252904
26	0.1302924446
27	0.1284974824
28	0.1263086877
29	0.1246732485
30	0.1229381067
31	0.1213576907
32	0.1195397183
33	0.1177516687
34	0.1163286525
35	0.1148754235
36	0.1133716488
37	0.1120944963
38	0.1105726277
39	0.1091978064
40	0.1079550208
41	0.1066211225
42	0.105378285
43	0.1041910019
44	0.1030564915
45	0.1019978575
46	0.100835331
47	0.09968438335
48	0.0985999862
49	0.09744182423
50	0.09644667867
51	0.09555184458
52	0.09454851211
53	0.09355010434
54	0.0926966989
55	0.09167662711
56	0.09084508011
57	0.09006204894
58	0.08916786859
59	0.08831786015
60	0.08753711253
61	0.0869284807
62	0.08615508762
63	0.08562040431
64	0.08495500836
65	0.08447740336
66	0.08394352339
67	0.08338364933
68	0.08268204611
69	0.0820912891
70	0.08155137598
71	0.08120846347
72	0.08056285115
73	0.08009620517
74	0.07974473137
75	0.07924091866
76	0.07863489674
77	0.07814860495
78	0.07769835127
79	0.07724667832
80	0.07696587507
81	0.0765111213
82	0.07612536673
83	0.07564759306
84	0.07530571688
85	0.07493385397
86	0.07456813663
87	0.07409282701
88	0.07374616454
89	0.07333216907
90	0.07306230185
91	0.0727622366
92	0.07236873179
93	0.07203036011
94	0.07169114098
95	0.07147505336
96	0.07126919014
97	0.07092953238
98	0.07066758429
99	0.07043965778
100	0.07006874352
101	0.0696255475
102	0.06943017789
103	0.06909960794
104	0.06884515207
105	0.06865945753
106	0.06840520717
107	0.06820216887
108	0.06784956719
109	0.06749086548
110	0.06723624074
111	0.06700780689
112	0.06672960664
113	0.06650894021
114	0.06624123142
115	0.06610841803
116	0.06591513591
117	0.06561347046
118	0.06537708955
119	0.06523866387
120	0.06503133823
121	0.06471097385
122	0.06458627775
123	0.06448061577
124	0.06432270619
125	0.06413985906
126	0.06404233396
127	0.06379295933
128	0.06361770795
129	0.06341104433
130	0.06316632687
131	0.06295905793
132	0.06274844351
133	0.0624887689
134	0.06226856788
135	0.06206132556
136	0.06186924427
137	0.06170286932
138	0.06154269209
139	0.06138772976
140	0.06126213896
141	0.06104617958
142	0.06089108858
143	0.06072749589
144	0.0605808717
145	0.06043402882
146	0.06030384473
147	0.06013984502
148	0.06005400621
149	0.05995201405
150	0.05984167096
151	0.05970697279
152	0.05947384941
153	0.05926287198
154	0.05911699871
155	0.0590071737
156	0.05888978044
157	0.05873431921
158	0.05864542302
159	0.05849843175
160	0.05840828065
161	0.05830872532
162	0.05820538154
163	0.05811194852
164	0.05801350253
165	0.0578312036
166	0.05771500114
167	0.05757118259
168	0.05744951492
169	0.05733126827
170	0.0572517347
171	0.05716050455
172	0.05704544975
173	0.05695983716
174	0.05680754182
175	0.05664679993
176	0.05657308163
177	0.0564802415
178	0.05639904571
179	0.05629928607
180	0.05622556497
181	0.05614537734
182	0.05604848227
