iter	RMSE
0	0.04133229572
1	0.03993790968
2	0.03852246959
3	0.03722137729
4	0.03597102699
5	0.0347589454
6	0.03362834896
7	0.03264098546
8	0.03169847971
9	0.03074502228
10	0.02986776134
11	0.02901313164
12	0.02824511841
13	0.02752345427
14	0.0267903486
15	0.02613595815
16	0.02550747611
17	0.02492853082
18	0.02434163616
19	0.0238230733
20	0.02329495945
21	0.02281997833
22	0.02236388042
23	0.02197105946
24	0.02157996944
25	0.02124117259
26	0.0208893719
27	0.02053290977
28	0.02025765715
29	0.01995580414
30	0.01968889299
31	0.01943981325
32	0.01919583085
33	0.01895360696
34	0.01874470181
35	0.01853997068
36	0.01833864669
37	0.01815604204
38	0.01799020103
39	0.01779660819
40	0.01764885495
41	0.01748558549
42	0.01734889864
43	0.0172044004
44	0.01706568236
45	0.01694739781
46	0.01681344619
47	0.01668017939
48	0.01650417787
49	0.01640053237
50	0.01627849386
51	0.01619091101
52	0.01612657059
53	0.01603686474
54	0.01596139758
55	0.01587325176
56	0.01577757513
57	0.01568557951
58	0.01562520558
59	0.01556010286
60	0.01547987177
61	0.01541694869
62	0.01534649778
63	0.0152742376
64	0.01522446755
65	0.01513306076
66	0.01504682135
67	0.01500362125
68	0.01496208773
69	0.01492246192
70	0.01484545005
71	0.01478211424
72	0.0147089033
73	0.01463436122
74	0.01455911802
75	0.01449693632
76	0.01445929099
77	0.01442582684
78	0.01438873917
79	0.01432712666
80	0.01426294732
81	0.01422430246
82	0.01418135682
83	0.01410880559
84	0.01406690739
85	0.01403987778
86	0.01397247928
87	0.01392512094
88	0.0138748311
89	0.01384491791
90	0.01378622489
91	0.01374670261
92	0.01371442823
93	0.01366773914
94	0.01360293752
95	0.01357104789
96	0.01352307159
97	0.01350163781
98	0.01346672421
99	0.01341063614
100	0.01335545272
101	0.01332804073
102	0.01329759247
103	0.01326574521
104	0.01321884994
105	0.0131977063
106	0.01316146739
107	0.01313338741
108	0.01311256776
109	0.01307223626
110	0.01304100993
111	0.01299018805
112	0.01292626343
113	0.01288685878
114	0.01285407634
115	0.01282182724
116	0.01279506841
117	0.01275100402
118	0.01271705312
119	0.01267727334
120	0.01264387177
121	0.01260070279
122	0.01256097994
123	0.01253255058
124	0.01251003896
125	0.01247776679
126	0.01245401111
127	0.0124083749
128	0.01238738318
129	0.01235335028
130	0.01231510587
131	0.0122824168
132	0.01226694939
133	0.01224628245
134	0.01221557462
135	0.01219162246
136	0.0121605372
137	0.01213576078
138	0.01210753816
139	0.0120839047
140	0.01206075604
141	0.01203584831
142	0.01200196622
143	0.01196993852
144	0.01193710992
145	0.01191144639
146	0.01189642544
147	0.0118807964
148	0.01185650132
149	0.01183263023
150	0.0118072028
151	0.01178268753
152	0.011766709
153	0.01174502601
154	0.01172649273
155	0.01170213929
156	0.01166908869
157	0.01165152804
158	0.01163550502
159	0.01161885474
160	0.0116070771
161	0.01157886623
162	0.01155846678
163	0.01153111502
164	0.01151496364
165	0.01149248942
166	0.01147382547
167	0.0114613189
168	0.0114357616
169	0.01141630072
170	0.01138136689
171	0.0113684229
172	0.0113468363
173	0.01133002576
174	0.01131305333
175	0.01128396406
176	0.01124681606
177	0.0112218525
178	0.01119787326
179	0.01118736084
180	0.01116594692
181	0.01114947195
182	0.01113256622
183	0.01111542875
184	0.01109093124
185	0.01105554109
186	0.01103645038
187	0.0110119325
188	0.01099334994
189	0.01096397751
190	0.01095091441
191	0.01093456736
192	0.01092032909
193	0.01090628185
194	0.01088702633
195	0.01086676204
196	0.01085567426
197	0.01084565815
198	0.01082334314
199	0.01080589335
200	0.01079030799
201	0.01075985166
202	0.01074638698
203	0.01072971026
204	0.01071890053
205	0.01069598735
206	0.01067784916
207	0.0106617428
208	0.01064451477
209	0.01062075886
210	0.01060055796
211	0.01057538028
212	0.01055621205
213	0.01054113808
214	0.01052279077
215	0.01051048117
216	0.01048640481
217	0.01046703021
218	0.0104512599
219	0.0104311332
220	0.0103979958
221	0.01038233782
222	0.01036490214
223	0.01034892048
224	0.01033636644
225	0.01031394163
226	0.01030389143
227	0.01029144114
228	0.01027142749
229	0.01025254438
230	0.01023326404
231	0.01021451391
232	0.01019737225
233	0.01018206928
234	0.01016291815
235	0.01014961144
236	0.01013175749
237	0.01011464346
238	0.01010046012
239	0.01008433824
240	0.01006455665
241	0.01005225988
242	0.01004250641
243	0.01002388963
244	0.01001052044
245	0.009993311856
246	0.009977818908
247	0.009966246763
248	0.009943528941
249	0.009935477628
250	0.009923871224
251	0.009913380465
252	0.009898920207
253	0.009882360936
254	0.009870328847
255	0.009854073858
256	0.009835661121
257	0.009820280785
258	0.009798705642
259	0.009788612221
260	0.009775426205
261	0.009757196117
262	0.009738990824
263	0.009720112001
264	0.009703473063
265	0.009695316579
266	0.009676593471
267	0.009655813435
268	0.0096438739
269	0.009631088794
270	0.009618588859
271	0.009603446471
272	0.009589934121
273	0.009580907383
274	0.009571853681
275	0.009562320889
276	0.00954727455
277	0.009527367461
278	0.009503981018
279	0.009486065426
280	0.00947455761
281	0.009466942549
282	0.009454279918
283	0.009443115991
284	0.009426818892
285	0.009418273996
286	0.009411762556
287	0.009399418713
288	0.009386173694
289	0.009371131844
290	0.009356126748
291	0.009343885658
292	0.009336202903
293	0.009325843222
294	0.009310668121
295	0.009289412917
296	0.009277531791
297	0.009261416171
298	0.009251888384
299	0.009238239618
300	0.009223443325
301	0.00921219032
302	0.009201676012
303	0.009195400106
304	0.009183440908
305	0.009169613764
306	0.009163141449
307	0.009153869216
308	0.009143772231
309	0.009130497069
310	0.009117563916
311	0.00910317804
312	0.009096784213
313	0.009082644314
314	0.009072500125
315	0.009056026826
316	0.009041412195
317	0.00903124462
318	0.009021317425
319	0.009002339143
320	0.008979532643
321	0.008965593496
322	0.008957134452
323	0.00894046577
324	0.00893014385
325	0.008925556073
326	0.008916428049
327	0.00890317081
328	0.008885684969
329	0.008877762914
330	0.00886373465
331	0.008857133355
332	0.008850339053
333	0.008837159656
334	0.008827798253
335	0.008816320325
336	0.008805196099
337	0.008794604606
338	0.008778599095
339	0.008762302998
340	0.008748879904
341	0.008734717049
342	0.008729645023
343	0.008717457524
344	0.008706286507
345	0.008689960462
346	0.00868397332
347	0.008677241466
348	0.008666944561
349	0.008660357224
350	0.008654454513
351	0.008644404525
352	0.008629940481
353	0.008617489452
354	0.008608850296
355	0.008602027374
356	0.008597165377
357	0.008587955968
358	0.008583235758
359	0.008578832184
360	0.008561643585
361	0.008557512747
362	0.008543784839
363	0.00853237654
364	0.00851895114
365	0.00851455127
366	0.008507301651
367	0.008495600929
368	0.008488318472
369	0.008479890011
370	0.008467212165
371	0.008457681979
372	0.008445747489
373	0.008434158902
374	0.008422573533
375	0.008415839673
376	0.008400503902
377	0.008394420513
378	0.008388294344
379	0.008379514095
380	0.008369933657
381	0.008363375874
382	0.008351032281
383	0.008344843462
384	0.008341017433
385	0.00832649286
386	0.008310541521
387	0.008298219937
388	0.008287450087
389	0.008275509316
390	0.008267038225
391	0.008255621959
392	0.008238241926
393	0.008230495085
394	0.008225418135
395	0.008210913446
396	0.008203386678
397	0.00819468729
398	0.008188609747
399	0.008184407429
400	0.0081802619
401	0.00817330438
402	0.008167292469
403	0.008156603046
404	0.008143123662
405	0.008128079842
406	0.008122331355
407	0.008113028554
408	0.008103690682
409	0.008086310345
410	0.008078113229
411	0.008064170747
412	0.008060241547
413	0.008050234453
414	0.008040681497
415	0.008029074137
416	0.008020615629
417	0.008015928267
418	0.008006524863
419	0.007995170566
420	0.007990378496
421	0.007982487256
422	0.007976833622
423	0.007969493362
424	0.007963685732
425	0.007952999258
426	0.007940255055
427	0.007930908409
428	0.007921031396
429	0.007911306393
430	0.007899194773
431	0.007886982283
432	0.007874711764
433	0.007865269618
434	0.007859191463
435	0.007850147261
436	0.007844492863
437	0.007835213517
438	0.007826360627
439	0.00781854869
440	0.007810672584
441	0.007802264493
442	0.007793496932
443	0.007786539898
444	0.007780639802
445	0.007771798574
446	0.007762012224
447	0.007755625943
448	0.007743820172
449	0.00773558665
450	0.007718573725
451	0.007706373233
452	0.007698134667
453	0.007687734616
454	0.007674714525
455	0.007668549809
456	0.007664855356
457	0.007656158135
458	0.007643118782
459	0.007634004159
460	0.007630418347
461	0.007624385509
462	0.007616010887
463	0.007611576999
464	0.007604986045
465	0.007598552761
466	0.007592897913
467	0.007585318972
468	0.007577034635
469	0.007567378926
470	0.007560775316
471	0.007555076917
472	0.007550013442
473	0.007545865346
474	0.007540251552
475	0.007530359268
476	0.007523545851
477	0.00751730652
478	0.007508197169
479	0.007492881509
480	0.007485330429
481	0.007479103416
482	0.007471817543
483	0.007466090819
484	0.007460107006
485	0.007454201287
486	0.007446953222
487	0.007442682366
488	0.007435799735
489	0.007430462095
490	0.007422936001
491	0.007413959716
492	0.007402592025
493	0.007393091037
494	0.007386833601
495	0.007381117998
496	0.007375815314
497	0.007371636346
498	0.007366146006
499	0.007361515673
500	0.007354805963
501	0.007346974977
502	0.007343707825
503	0.007336904089
504	0.007331092507
505	0.007327847658
506	0.007320301576
507	0.007312910962
508	0.007304508229
509	0.007298530083
510	0.007295545204
511	0.007290653901
512	0.007281684307
513	0.007274482309
514	0.007265570084
515	0.007261069604
516	0.007257030198
517	0.007248441426
518	0.007243366199
519	0.007234933234
520	0.007231463175
521	0.007229152102
522	0.007225356126
523	0.007218446761
524	0.007212920922
525	0.007206188619
526	0.007194933821
